Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,1,655,250
17,1,653,251
18,0,0,0
19,0,0,0
20,1,653,251
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,1,636,261
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,1,658,265
51,1,656,262
52,1,648,258
53,1,645,255
54,1,641,246
55,1,633,246
56,1,630,245
57,0,0,0
58,0,0,0
59,0,0,0
60,1,606,260
61,1,601,265
62,1,597,272
63,1,591,281
64,1,588,288
65,1,583,298
66,1,578,311
67,1,576,321
68,1,571,333
69,0,0,0
70,1,640,481
71,0,0,0
72,0,0,0
73,1,558,287
74,1,562,281
75,1,608,167
76,1,616,141
77,1,621,117
78,1,626,96
79,1,631,80
80,1,636,66
81,1,640,53
82,1,641,46
83,1,646,36
84,1,648,31
85,1,651,26
86,1,655,21
87,1,656,21
88,1,660,21
89,1,661,21
90,1,665,21
91,1,666,23
92,1,667,26
93,1,671,31
94,1,671,36
95,1,676,43
96,1,676,50
97,1,677,56
98,1,680,66
99,1,681,76
100,1,681,83
101,1,683,93
102,1,685,103
103,0,0,0
104,1,641,167
105,1,622,191
106,1,602,218
107,1,586,241
108,1,571,262
109,1,556,283
110,1,546,303
111,1,531,323
112,1,521,341
113,1,511,362
114,1,501,381
115,1,491,402
116,1,481,423
117,1,473,443
118,1,466,465
119,1,463,422
120,1,467,392
121,1,473,366
122,1,476,348
123,1,476,326
124,1,476,311
125,1,478,297
126,1,478,287
127,1,480,278
128,1,481,271
129,1,481,263
130,1,481,258
131,1,483,258
132,1,483,253
133,1,486,252
134,1,486,253
135,1,487,253
136,1,490,258
137,1,490,261
138,1,491,266
139,1,491,272
140,1,493,278
141,1,495,286
142,1,496,292
143,0,0,0
144,1,526,261
145,1,550,237
146,1,570,220
147,1,586,203
148,1,603,191
149,1,616,180
150,1,632,171
151,1,646,163
152,1,658,158
153,1,673,155
154,1,683,151
155,1,696,151
156,1,706,151
157,1,717,151
158,1,727,156
159,1,738,161
160,1,746,166
161,1,756,173
162,1,766,182
163,1,775,192
164,1,782,203
165,1,791,217
166,1,798,231
167,1,805,246
168,1,811,261
169,1,818,281
170,1,823,298
171,1,828,316
172,1,833,336
173,1,838,356
174,1,841,377
175,1,846,398
176,1,840,388
177,0,0,0
178,1,815,302
179,1,808,281
180,1,801,263
181,1,798,253
182,1,795,247
183,1,791,241
184,1,786,236
185,1,786,233
186,1,781,232
187,1,781,233
188,1,778,235
189,1,776,236
190,1,748,232
191,0,0,0
192,0,0,0
193,0,0,0
194,1,662,226
195,1,646,228
196,1,628,231
197,1,612,233
198,1,596,238
199,1,582,243
200,1,566,251
201,1,553,260
202,1,541,266
203,1,526,276
204,1,515,286
205,1,502,298
206,1,491,311
207,1,481,323
208,1,470,336
209,1,458,351
210,1,448,366
211,1,438,382
212,1,430,400
213,1,425,383
214,1,431,356
215,1,430,332
216,1,433,313
217,1,436,298
218,1,441,283
219,1,445,275
220,1,575,278
221,1,448,256
222,1,451,251
223,1,452,248
224,1,456,246
225,1,456,242
226,1,458,241
227,1,461,242
228,1,462,246
229,1,466,247
230,1,466,251
231,1,468,256
232,1,471,261
233,1,471,268
