Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,590,458
12,0,0,0
13,0,0,0
14,0,0,0
15,1,672,402
16,1,613,308
17,1,603,306
18,1,595,306
19,1,586,306
20,1,576,306
21,1,568,308
22,1,561,311
23,1,551,316
24,1,546,322
25,1,538,330
26,1,531,338
27,1,526,346
28,1,518,357
29,1,511,371
30,1,506,383
31,0,0,0
32,1,516,353
33,1,525,336
34,1,533,326
35,1,537,321
36,1,542,311
37,0,0,0
38,0,0,0
39,1,562,298
40,1,568,298
41,1,576,300
42,1,581,301
43,1,586,306
44,1,593,311
45,1,600,316
46,1,605,323
47,1,612,333
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,1,621,241
55,1,616,191
56,1,611,147
57,1,608,110
58,1,606,77
59,1,603,48
60,1,601,21
61,1,601,5
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,1,561,6
84,1,558,25
85,1,556,46
86,1,556,68
87,1,556,91
88,1,553,116
89,1,551,140
90,1,551,166
91,1,551,191
92,1,548,212
93,1,547,242
94,1,546,268
95,1,546,296
96,1,546,321
97,1,572,327
98,0,0,0
99,1,537,346
100,0,0,0
101,1,671,292
102,1,686,291
103,0,0,0
104,1,708,291
105,1,717,296
106,1,726,298
107,1,733,306
108,1,741,311
109,1,747,316
110,1,753,323
111,1,758,331
112,0,0,0
113,1,770,346
114,1,776,356
115,1,780,366
116,0,0,0
117,1,758,360
118,0,0,0
119,0,0,0
120,1,696,311
121,0,0,0
122,1,666,293
123,1,647,286
124,1,631,278
125,1,616,276
126,1,603,273
127,1,588,273
128,1,576,273
129,1,563,276
130,1,553,278
131,1,541,283
132,1,527,291
133,1,520,298
134,1,508,307
135,1,500,316
136,1,490,328
137,1,481,341
138,1,471,355
139,1,463,366
140,1,456,381
141,1,448,396
142,1,440,411
143,1,438,376
144,1,446,336
145,1,448,302
146,1,451,273
147,1,453,251
148,1,456,231
149,1,458,216
150,1,461,202
151,1,463,193
152,1,466,186
153,1,467,177
154,1,471,173
155,1,472,168
156,1,523,311
157,1,476,166
158,1,481,166
159,1,481,166
160,1,486,171
161,1,486,175
162,1,491,180
163,1,492,186
164,1,496,191
165,1,496,200
166,1,501,206
167,1,501,216
168,0,0,0
169,1,508,236
170,0,0,0
171,0,0,0
172,1,521,236
173,1,522,236
174,0,0,0
175,0,0,0
176,1,531,246
177,1,533,253
178,1,536,261
179,1,538,267
180,1,541,276
181,0,0,0
182,1,540,295
183,1,545,308
184,1,546,321
185,1,546,333
186,1,548,348
187,1,550,363
188,1,551,381
189,1,551,396
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,1,682,335
214,1,690,330
215,1,691,323
216,1,692,321
217,1,695,316
218,1,693,313
219,0,0,0
220,1,701,316
221,1,703,317
222,1,708,323
223,1,711,326
224,1,711,331
225,1,716,341
226,1,716,346
227,1,716,357
228,1,718,363
229,1,718,380
230,1,718,390
231,0,0,0
232,1,682,251
233,1,668,193
234,1,661,156
235,1,657,125
236,1,653,96
237,1,650,71
238,1,646,48
239,1,641,30
240,1,635,13
241,1,631,5
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,0,0,0
258,1,566,5
259,1,563,11
260,1,561,23
261,1,558,36
262,1,558,51
263,1,556,66
264,1,556,81
265,1,556,96
266,1,556,113
267,1,555,131
268,1,553,148
269,1,553,166
270,1,553,183
271,0,0,0
272,0,0,0
273,1,507,357
274,1,487,427
275,1,476,473
276,1,466,512
277,1,458,551
278,1,450,586
279,1,442,621
280,1,436,623
281,1,433,623
282,1,436,623
283,1,436,626
284,1,438,631
285,1,436,636
286,1,433,641
287,1,432,651
288,1,430,661
289,1,428,673
290,1,426,686
291,1,425,706
292,1,426,706
293,1,425,708
294,1,420,711
295,1,421,711
296,1,423,713
297,1,422,712
298,0,0,0
299,0,0,0
