Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,1,648,456
13,1,645,455
14,1,648,455
15,1,648,455
16,1,652,455
17,1,707,477
18,1,655,453
19,1,652,451
20,0,0,0
21,1,653,453
22,0,0,0
23,1,715,482
24,1,716,482
25,1,652,448
26,1,652,448
27,1,655,448
28,1,655,447
29,1,655,446
30,1,655,445
31,1,656,442
32,1,656,443
33,1,657,440
34,1,660,437
35,1,661,436
36,1,662,435
37,1,663,433
38,1,666,436
39,1,666,437
40,1,668,440
41,1,668,443
42,1,671,448
43,1,673,453
44,1,675,461
45,1,676,466
46,1,678,473
47,1,681,483
48,1,681,493
49,1,683,503
50,0,0,0
51,1,656,373
52,1,641,292
53,1,627,227
54,1,618,173
55,1,608,128
56,1,601,88
57,1,593,56
58,1,587,26
59,1,583,5
60,0,0,0
61,0,0,0
62,0,0,0
63,1,713,636
64,1,713,638
65,1,710,640
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,1,492,437
81,0,0,0
82,1,486,441
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,1,472,436
88,0,0,0
89,0,0,0
90,1,546,287
91,1,480,445
92,1,476,443
93,1,476,440
94,0,0,0
95,0,0,0
96,0,0,0
97,1,528,3
98,1,556,282
99,1,528,26
100,1,531,38
101,1,531,53
102,1,531,68
103,1,531,82
104,1,531,97
105,1,531,113
106,1,531,128
107,1,531,143
108,1,532,158
109,1,533,173
110,1,533,191
111,1,533,206
112,1,533,221
113,1,535,236
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,1,540,453
122,1,541,473
123,1,541,491
124,1,541,511
125,1,541,530
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,1,636,640
136,0,0,0
137,0,0,0
138,1,688,650
139,0,0,0
140,1,653,526
141,0,0,0
142,1,685,646
143,1,685,643
144,1,683,641
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,1,625,386
152,1,605,386
153,1,586,387
154,1,568,391
155,1,552,393
156,1,538,396
157,1,522,405
158,1,508,408
159,1,495,416
160,1,482,422
161,1,470,431
162,1,458,441
163,1,465,418
164,1,482,393
165,1,495,372
166,1,505,358
167,1,513,348
168,1,521,341
169,1,526,336
170,1,531,331
171,1,536,327
172,1,538,326
173,1,543,326
174,1,546,326
175,1,548,326
176,0,0,0
177,0,0,0
178,1,531,322
179,1,526,317
180,1,518,316
181,1,511,318
182,1,506,318
183,1,501,321
184,1,496,326
185,1,491,328
186,1,486,333
187,1,481,338
188,1,476,345
189,1,471,351
190,1,466,360
191,1,461,368
192,1,457,377
193,1,453,387
194,1,448,397
195,1,446,411
196,1,441,421
197,1,437,433
198,1,433,446
199,1,431,462
200,1,426,475
201,1,423,491
202,1,435,485
203,1,466,426
204,1,491,387
205,1,513,356
206,1,531,330
207,1,451,506
208,1,566,286
209,1,578,271
210,1,591,257
211,1,603,243
212,1,616,233
213,1,626,223
214,1,635,218
215,1,643,211
216,1,651,208
217,1,661,203
218,1,667,201
219,1,676,200
220,1,681,198
221,1,690,198
222,1,696,201
223,1,701,201
224,1,707,206
225,1,713,208
226,1,718,212
227,1,726,216
228,1,731,223
229,1,736,230
230,1,741,236
231,1,745,243
232,1,748,251
233,1,753,261
234,1,756,268
235,1,761,277
236,1,766,288
237,1,768,296
238,1,771,307
239,1,746,318
240,1,725,316
241,1,705,320
242,1,682,321
243,1,665,326
244,1,648,331
245,1,632,335
246,1,618,341
247,1,605,346
248,1,591,353
249,1,578,361
250,1,566,368
251,1,553,376
252,1,543,386
253,1,533,396
254,1,521,406
255,1,515,412
256,1,513,416
257,1,515,416
258,1,516,416
259,1,516,418
260,1,516,421
261,1,516,426
262,1,517,427
263,1,518,431
264,1,518,436
265,1,521,446
266,1,521,452
267,1,520,461
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0,0,0
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,1,533,526
289,0,0,0
290,0,0,0
291,1,531,527
292,0,0,0
293,0,0,0
294,1,533,530
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
