Score,UpCourt,DownCourt,Start,End,Comment
1_01_00,CHEN Yufei,TAI Tzu Ying,208,426,0
1_01_01,CHEN Yufei,TAI Tzu Ying,688,1147,0
1_01_02,CHEN Yufei,TAI Tzu Ying,1431,1617,0
1_01_03,CHEN Yufei,TAI Tzu Ying,2179,3075,0
1_02_03,CHEN Yufei,TAI Tzu Ying,3668,3840,0
1_02_04,CHEN Yufei,TAI Tzu Ying,4220,4372,0
1_02_05,CHEN Yufei,TAI Tzu Ying,4720,4861,0
1_03_05,CHEN Yufei,TAI Tzu Ying,6197,6544,0
1_04_05,CHEN Yufei,TAI Tzu Ying,6890,7156,0
1_04_06,CHEN Yufei,TAI Tzu Ying,7439,7734,0
1_04_07,CHEN Yufei,TAI Tzu Ying,8077,8703,0
1_05_07,CHEN Yufei,TAI Tzu Ying,9177,9437,0
1_05_08,CHEN Yufei,TAI Tzu Ying,10124,10715,0
1_06_08,CHEN Yufei,TAI Tzu Ying,11408,11577,0
1_07_08,CHEN Yufei,TAI Tzu Ying,11982,12438,0
1_08_08,CHEN Yufei,TAI Tzu Ying,12907,13432,0
1_09_08,CHEN Yufei,TAI Tzu Ying,13934,14197,0
1_09_09,CHEN Yufei,TAI Tzu Ying,14572,14936,0
1_10_09,CHEN Yufei,TAI Tzu Ying,15652,16005,0
1_11_09,CHEN Yufei,TAI Tzu Ying,16350,16645,0
1_12_09,CHEN Yufei,TAI Tzu Ying,18610,18760,0
1_12_10,CHEN Yufei,TAI Tzu Ying,19259,19797,0
1_13_10,CHEN Yufei,TAI Tzu Ying,20480,20601,0
1_13_11,CHEN Yufei,TAI Tzu Ying,20809,21339,0
1_13_12,CHEN Yufei,TAI Tzu Ying,22024,22224,0
1_14_12,CHEN Yufei,TAI Tzu Ying,22601,22843,0
1_15_12,CHEN Yufei,TAI Tzu Ying,23188,24286,0
1_16_12,CHEN Yufei,TAI Tzu Ying,24938,25090,0
1_16_13,CHEN Yufei,TAI Tzu Ying,25433,25682,0
1_17_13,CHEN Yufei,TAI Tzu Ying,26365,26809,0
1_17_14,CHEN Yufei,TAI Tzu Ying,27182,27411,0
1_18_14,CHEN Yufei,TAI Tzu Ying,27818,27987,0
1_18_15,CHEN Yufei,TAI Tzu Ying,28424,28641,0
1_19_15,CHEN Yufei,TAI Tzu Ying,29233,29725,0
1_19_16,CHEN Yufei,TAI Tzu Ying,30286,30945,0
1_19_17,CHEN Yufei,TAI Tzu Ying,31504,31872,0
1_20_17,CHEN Yufei,TAI Tzu Ying,32683,32874,0
1_21_17,CHEN Yufei,TAI Tzu Ying,33280,33831,0
2_01_00,TAI Tzu Ying,CHEN Yufei,37598,38193,0
2_01_01,TAI Tzu Ying,CHEN Yufei,38507,38899,0
2_02_01,TAI Tzu Ying,CHEN Yufei,39431,39716,0
2_03_01,TAI Tzu Ying,CHEN Yufei,40032,40333,0
2_04_01,TAI Tzu Ying,CHEN Yufei,40831,41116,0
2_04_02,TAI Tzu Ying,CHEN Yufei,41429,41659,0
2_05_02,TAI Tzu Ying,CHEN Yufei,42693,42972,0
2_06_02,TAI Tzu Ying,CHEN Yufei,43285,43671,0
2_06_03,TAI Tzu Ying,CHEN Yufei,44013,44587,0
2_07_03,TAI Tzu Ying,CHEN Yufei,45117,45482,0
2_07_04,TAI Tzu Ying,CHEN Yufei,45888,46299,0
2_08_04,TAI Tzu Ying,CHEN Yufei,46768,47066,0
2_08_05,TAI Tzu Ying,CHEN Yufei,47533,47807,0
2_09_05,TAI Tzu Ying,CHEN Yufei,48211,48669,0
2_10_05,TAI Tzu Ying,CHEN Yufei,49196,49790,0
2_10_06,TAI Tzu Ying,CHEN Yufei,50195,50662,0
2_11_06,TAI Tzu Ying,CHEN Yufei,51284,51419,0
2_12_06,TAI Tzu Ying,CHEN Yufei,53359,53909,0
2_12_07,TAI Tzu Ying,CHEN Yufei,54621,55880,0
2_13_07,TAI Tzu Ying,CHEN Yufei,56809,57056,0
2_13_08,TAI Tzu Ying,CHEN Yufei,57739,58077,0
2_14_08,TAI Tzu Ying,CHEN Yufei,58541,59003,0
2_14_09,TAI Tzu Ying,CHEN Yufei,59560,59785,0
2_15_09,TAI Tzu Ying,CHEN Yufei,60405,60811,0
2_16_09,TAI Tzu Ying,CHEN Yufei,61280,61549,0
2_17_09,TAI Tzu Ying,CHEN Yufei,61891,62468,0
2_18_09,TAI Tzu Ying,CHEN Yufei,62872,63208,0
2_19_09,TAI Tzu Ying,CHEN Yufei,63830,64110,0
2_20_09,TAI Tzu Ying,CHEN Yufei,64579,64847,0
2_20_10,TAI Tzu Ying,CHEN Yufei,65130,65356,0
2_21_10,TAI Tzu Ying,CHEN Yufei,65699,66221,0
