rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:20:56,37653.0,1,0,A,1,發長球,,,2.0,,,,1.0,9,547.0,424.0,,,,,8,640.0,626.0,8,547.0,448.0,0
1,2.0,00:20:58,37716.0,1,0,B,2,殺球,,,1.0,9.0,547.0,424.0,2.0,6,420.0,626.0,,,,,13,554.0,420.0,8,619.0,612.0,0
1,3.0,00:20:58,37729.0,1,0,A,2,擋小球,,1.0,2.0,6.0,420.0,626.0,2.0,5,482.0,480.0,,,,,8,614.0,636.0,8,556.0,441.0,0
1,4.0,00:20:59,37754.0,1,0,B,2,放小球,,,2.0,5.0,482.0,480.0,2.0,2,422.0,554.0,,,,,8,542.0,477.0,8,540.0,604.0,0
1,5.0,00:21:00,37791.0,1,0,A,2,放小球,,1.0,2.0,2.0,422.0,554.0,2.0,7,528.0,513.0,,,,,2,434.0,576.0,8,576.0,475.0,0
1,6.0,00:21:01,37813.0,1,0,B,2,挑球,,,2.0,7.0,528.0,513.0,1.0,4,386.0,700.0,,,,,7,576.0,504.0,7,525.0,578.0,0
1,7.0,00:21:03,37859.0,1,0,A,2,長球,1.0,,1.0,4.0,386.0,700.0,1.0,14,441.0,427.0,,,,,8,429.0,679.0,8,595.0,460.0,0
1,8.0,00:21:04,37898.0,1,0,B,2,切球,,,1.0,14.0,441.0,427.0,2.0,6,396.0,592.0,,,,,3,472.0,432.0,8,520.0,633.0,0
1,9.0,00:21:05,37922.0,1,0,A,2,長球,,1.0,2.0,6.0,396.0,592.0,1.0,8,722.0,448.0,,,,,6,456.0,604.0,8,535.0,441.0,0
1,10.0,00:21:06,37945.0,1,0,B,2,後場抽平球,,1.0,1.0,8.0,722.0,448.0,1.0,5,777.0,628.0,,,,,8,681.0,453.0,8,554.0,614.0,0
1,11.0,00:21:06,37959.0,1,0,A,2,平球,,,1.0,5.0,777.0,628.0,1.0,6,765.0,475.0,,,,,8,703.0,640.0,8,696.0,468.0,0
1,12.0,00:21:07,37980.0,1,0,B,2,擋小球,,1.0,1.0,6.0,765.0,475.0,2.0,1,768.0,566.0,,,,,8,720.0,475.0,8,708.0,624.0,0
1,13.0,00:21:08,38011.0,1,0,A,2,挑球,,,2.0,1.0,768.0,566.0,1.0,3,484.0,429.0,,,,,7,748.0,583.0,8,684.0,477.0,0
1,14.0,00:21:09,38059.0,1,0,B,2,過度切球,,,1.0,3.0,484.0,429.0,2.0,2,424.0,568.0,,,,,14,528.0,420.0,8,597.0,614.0,0
1,15.0,00:21:10,38087.0,1,0,A,2,挑球,,1.0,2.0,2.0,424.0,568.0,1.0,5,458.0,439.0,,,,,8,468.0,600.0,8,559.0,439.0,0
1,16.0,00:21:12,38128.0,1,0,B,3,長球,,,1.0,5.0,458.0,439.0,2.0,14,283.0,705.0,出界,對手出界,A,,3,518.0,432.0,8,580.0,614.0,0
2,1.0,00:21:26,38551.0,1,1,A,1,發長球,,,2.0,,,,1.0,9,724.0,422.0,,,,,8,576.0,619.0,8,717.0,451.0,0
2,2.0,00:21:28,38612.0,1,1,B,2,殺球,1.0,,1.0,9.0,724.0,422.0,2.0,6,376.0,609.0,,,,,9,715.0,424.0,8,660.0,640.0,0
2,3.0,00:21:29,38633.0,1,1,A,2,擋小球,,1.0,2.0,6.0,376.0,609.0,2.0,1,470.0,496.0,,,,,8,460.0,607.0,8,667.0,439.0,0
2,4.0,00:21:29,38661.0,1,1,B,2,放小球,,,2.0,1.0,470.0,496.0,2.0,7,513.0,556.0,,,,,8,516.0,492.0,8,511.0,592.0,0
2,5.0,00:21:30,38689.0,1,1,A,2,挑球,,1.0,2.0,7.0,513.0,556.0,1.0,9,698.0,436.0,,,,,7,568.0,576.0,8,549.0,489.0,0
2,6.0,00:21:33,38762.0,1,1,B,2,殺球,,,1.0,9.0,698.0,436.0,2.0,5,777.0,626.0,,,,,8,696.0,441.0,8,681.0,628.0,0
2,7.0,00:21:33,38774.0,1,1,A,2,擋小球,,,2.0,5.0,777.0,626.0,1.0,7,744.0,504.0,,,,,8,693.0,633.0,8,672.0,463.0,0
2,8.0,00:21:34,38800.0,1,1,B,2,勾球,,1.0,1.0,7.0,744.0,504.0,2.0,2,460.0,561.0,,,,,7,724.0,504.0,8,643.0,636.0,0
2,9.0,00:21:35,38817.0,1,1,A,3,挑球,,1.0,2.0,2.0,460.0,561.0,2.0,13,729.0,415.0,出界,對手出界,B,,8,494.0,597.0,7,672.0,496.0,0
3,1.0,00:21:57,39483.0,2,1,B,1,發短球,,1.0,2.0,,,,2.0,7,568.0,561.0,,,,,8,636.0,475.0,8,494.0,640.0,0
3,2.0,00:21:58,39504.0,2,1,A,2,推球,,,2.0,7.0,568.0,561.0,1.0,3,489.0,427.0,,,,,8,556.0,600.0,8,626.0,465.0,0
3,3.0,00:21:59,39539.0,2,1,B,2,殺球,,,1.0,3.0,489.0,427.0,2.0,6,364.0,619.0,,,,,9,566.0,432.0,8,600.0,609.0,0
3,4.0,00:21:59,39551.0,2,1,A,2,擋小球,,1.0,2.0,6.0,364.0,619.0,2.0,8,540.0,482.0,,,,,8,583.0,638.0,3,530.0,432.0,0
3,5.0,00:22:00,39581.0,2,1,B,2,挑球,,,2.0,8.0,540.0,482.0,1.0,4,367.0,691.0,,,,,8,564.0,487.0,8,559.0,619.0,0
3,6.0,00:22:02,39627.0,2,1,A,2,長球,1.0,,1.0,4.0,367.0,691.0,1.0,9,744.0,434.0,,,,,8,453.0,679.0,8,592.0,475.0,0
3,7.0,00:22:03,39666.0,2,1,B,3,殺球,1.0,,1.0,9.0,744.0,434.0,2.0,15,288.0,626.0,出界,對手出界,A,,9,693.0,432.0,8,592.0,648.0,0
4,1.0,00:22:17,40081.0,3,1,A,1,發長球,,,2.0,,,,1.0,3,528.0,432.0,,,,,8,633.0,636.0,8,544.0,453.0,0
